,date,date.1,city,co,pm2.5,Lat,Long
202,2014-8,8,Zhengzhou,340.0,4369.0,34.7466,113.625368
203,2014-8,8,Zhoukou,353.0,3042.0,33.626149,114.696951
204,2014-9,9,Bangalore,0.0,1620.0,12.938539,77.5901
205,2014-9,9,Baoding,577.0,5707.0,38.873891,115.464806
206,2014-9,9,Beijing,311.0,4152.0,39.954592,116.468117
207,2014-9,9,Changsha,332.0,4146.0,28.228209,112.938814
208,2014-9,9,Chengdu,271.0,3475.0,30.6250145,104.0670559
209,2014-9,9,Chongqing,326.0,3648.0,29.56301,106.551557
210,2014-9,9,Dongguan,270.0,3231.0,23.020536,113.751765
211,2014-9,9,Guangzhou,261.0,2628.0,23.141191,113.258374
212,2014-9,9,Handan,364.0,5646.0,36.625604,114.539085
213,2014-9,9,Jinan,497.0,5491.0,36.650997,117.120497
214,2014-9,9,Jining,372.0,4757.0,35.414921,116.587099
215,2014-9,9,Kuala Lumpur,375.0,2909.0,3.139003,101.686855
216,2014-9,9,Lima,90.0,1380.0,-12.07054,-77.04322
217,2014-9,9,Linyi,529.0,4213.0,35.104672,118.356448
218,2014-9,9,Moscow,2250.0,778.0,55.759354,37.595584
219,2014-9,9,Nagoya,114.0,2185.0,35.1814464,136.906398
220,2014-9,9,Nanyang,650.0,3979.0,32.990833,112.528322
221,2014-9,9,New York,30.0,1141.0,40.7127837,-74.0059413
222,2014-9,9,Paris,184.0,2810.0,48.856614,2.3522219
223,2014-9,9,Seoul,145.0,2099.0,37.566535,126.9779692
224,2014-9,9,Shanghai,178.0,2447.0,31.2047372,121.4489017
225,2014-9,9,Shijiazhuang,250.0,5225.0,38.042307,114.51486
226,2014-9,9,Tianjin,352.0,4040.0,39.084158,117.200983
227,2014-9,9,Tokyo,300.0,1750.0,35.6414629,139.6981712
228,2014-9,9,Weifang,290.0,4723.0,36.706774,119.161756
229,2014-9,9,Zhengzhou,469.0,4003.0,34.7466,113.625368
230,2014-9,9,Zhoukou,625.0,3924.0,33.626149,114.696951
231,2014-10,10,Bangalore,24.0,1674.0,12.938539,77.5901
232,2014-10,10,Baoding,696.0,8052.0,38.873891,115.464806
233,2014-10,10,Beijing,380.0,6039.0,39.954592,116.468117
234,2014-10,10,Changsha,362.0,5471.0,28.228209,112.938814
235,2014-10,10,Chengdu,337.0,4787.0,30.6250145,104.0670559
236,2014-10,10,Chongqing,367.0,4965.0,29.56301,106.551557
237,2014-10,10,Dongguan,294.0,4471.0,23.020536,113.751765
238,2014-10,10,Guangzhou,310.0,4099.0,23.141191,113.258374
239,2014-10,10,Handan,452.0,7344.0,36.625604,114.539085
240,2014-10,10,Jinan,487.0,5603.0,36.650997,117.120497
241,2014-10,10,Jining,429.0,5541.0,35.414921,116.587099
242,2014-10,10,Kuala Lumpur,744.0,5057.0,3.139003,101.686855
243,2014-10,10,Lima,93.0,1426.0,-12.07054,-77.04322
244,2014-10,10,Linyi,651.0,5494.0,35.104672,118.356448
245,2014-10,10,Moscow,2325.0,239.0,55.759354,37.595584
246,2014-10,10,Nagoya,126.0,2261.0,35.1814464,136.906398
247,2014-10,10,Nanyang,690.0,5403.0,32.990833,112.528322
248,2014-10,10,New York,31.0,1039.0,40.7127837,-74.0059413
249,2014-10,10,Paris,212.0,2489.0,48.856614,2.3522219
250,2014-10,10,Seoul,158.0,2258.0,37.566535,126.9779692
251,2014-10,10,Shanghai,191.0,3089.0,31.2047372,121.4489017
252,2014-10,10,Shijiazhuang,614.0,7802.0,38.042307,114.51486
